Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,t5,r6,t6,r7,t7,r8,t8,r9,t9,r10,t10
20192017,2022:02:22,화,10:02:13 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20192017,2022:02:22,화,10:14:37 AM,version=0.1,Test,0,11,22,10,0.001109396,179.1724,0.001987625,178.7216,0.001993452,178.8596,0.00148292,179.4122,0.00313073,179.4774,0.001735875,178.1538,0.001523874,178.8892,0.002904747,178.449,0.002163873,179.8601,0.002463573,176.8671
20192017,2022:02:22,화,10:17:14 AM,version=0.1,Test,0,11,22,10,0.003767048,179.7693,0.003722385,178.2773,0.003436082,178.9358,0.004536049,179.3614,0.003810694,179.2577,0.002977261,178.7936,0.000470012,178.0383,0.001442022,179.0637,0.004158583,179.2619,0.003210022,177.5834
20192017,2022:02:22,화,10:19:23 AM,version=0.1,Test,0,11,22,10,0.00072971,178.3363,0.001881883,179.2209,0.000631591,179.539,0.002405651,179.5789,0.003133812,179.5236,0.000993085,179.1584,0.000598757,179.1164,0.003237225,178.9474,0.002372439,177.4331,0.003477971,176.787
20155428,2022:02:22,화,11:15:53 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20155428,2022:02:22,화,11:26:30 AM,version=0.1,Test,0,11,22,10,0.000828392,179.8231,0.000710727,179.4991,0.001166033,178.7581,0.000258384,178.3872,0.000227398,179.3912,0.00053366,179.1271,0.001368008,178.7406,0.000357892,178.3427,0.000775745,179.3983,0.000628663,179.5585
20155428,2022:02:22,화,11:30:09 AM,version=0.1,Test,0,11,22,10,0.000604254,179.7983,0.000618409,179.1425,0.000803577,178.9865,0.001418091,178.8037,0.00051416,179.1273,0.00075037,177.1924,0.000489969,178.9788,0.00064202,179.1138,0.001632718,179.8176,9.37E-05,177.6053
20155428,2022:02:22,화,11:33:18 AM,version=0.1,Test,0,11,22,10,0.000438014,179.4178,0.000510807,178.8644,0.000240053,179.7498,0.000578952,179.2119,0.000264373,179.9161,0.000843211,177.6109,0.00041164,179.9374,0.00047471,179.7238,0.001033185,179.4457,0.000670748,177.602
20192001,2022:02:22,화,12:22:18 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20192001,2022:02:22,화,12:37:26 PM,version=0.1,Test,0,11,22,10,0.000818492,179.0378,0.00050665,179.7983,0.000519755,178.5751,0.000698222,179.4493,0.001086149,179.2777,0.000562033,179.4872,0.00056116,178.7998,0.000194479,178.3921,0.00150881,179.6014,0.000366994,178.0437
20192001,2022:02:22,화,12:39:52 PM,version=0.1,Test,0,11,22,10,0.000515175,179.0355,0.000424972,179.1753,0.000781161,178.861,0.001320402,176.8121,0.000596041,179.3817,0.000685658,177.2288,0.000712492,179.0696,0.000764693,178.4731,0.000305038,179.0932,0.000353712,178.9028
20192001,2022:02:22,화,12:43:04 PM,version=0.1,Test,0,11,22,10,0.000493067,178.8613,0.00071338,179.2308,0.001222389,179.3707,0.001079935,179.4699,0.000666885,178.8506,0.000219987,179.0963,0.000293677,179.6774,0.000373481,178.7543,0.000778902,179.3754,0.000558763,178.4832
20215578,2022:02:22,화,1:12:26 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20215578,2022:02:22,화,1:59:51 PM,version=0.1,Test,0,11,22,10,0.001077318,179.6124,0.001420931,179.6841,0.00027335,177.8264,0.000933713,178.6361,0.002364458,178.3134,0.000679715,178.7022,0.000615884,177.8119,0.001114583,179.7195,0.001622778,179.3156,0.000778293,179.2372
20215578,2022:02:22,화,2:02:33 PM,version=0.1,Test,0,11,22,10,0.001734099,178.8631,0.000408361,178.8684,0.002890843,179.6363,0.000959969,178.2351,0.001505758,173.6766,0.000986896,178.2222,0.000608506,179.3017,0.000382663,179.4049,0.001840967,177.0688,0.00209726,179.4929
20215578,2022:02:22,화,2:05:42 PM,version=0.1,Test,0,11,22,10,0.001382497,179.3466,0.002863181,179.8176,0.000161025,177.3252,0.001193935,179.3421,0.001688788,177.8382,0.00161196,178.65,0.00161158,177.7816,0.000962506,179.0414,0.003076875,177.9794,0.000171041,178.4581
20182033,2022:02:22,화,2:20:00 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20182033,2022:02:22,화,2:37:01 PM,version=0.1,Test,0,11,22,10,0.000782359,177.6888,0.001701312,176.6048,0.000542864,179.7072,0.0009939,174.3491,0.000997894,175.5282,0.000826883,177.9662,0.000563512,175.5573,0.001317013,179.4006,0.001271898,178.5112,0.000589886,179.2635
20182033,2022:02:22,화,2:39:21 PM,version=0.1,Test,0,11,22,10,0.001288115,179.2234,0.000546235,176.3172,0.000530781,177.6125,0.000829607,176.8314,0.002951349,175.1705,0.001442324,175.5523,0.001344936,177.1015,0.00068608,176.3358,0.000465895,178.096,0.001076778,179.3451
20182033,2022:02:22,화,2:41:17 PM,version=0.1,Test,0,11,22,10,0.000402793,179.6749,0.001099544,179.8298,0.000904547,178.5184,0.000470085,177.337,0.001138602,175.1921,0.000441369,177.1507,0.002586885,175.9208,0.001262889,176.7887,0.000669536,179.3321,0.000374186,176.8756
20192017,2022:02:23,수,11:02:21 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
